date,time,appliedcurrent,voltage,Cl,TOC,A,B,C,D,activatedcarbon,tensilestrength,elongation,glossiness,Mside,Sside,Curl
06월 04일,23,1.3,4.19,18.7,132,537,817,"1,907",187,7.2,37.6,16.4,41,1.68,0.28,6
06월 05일,3,1.3,4.17,,,,,,,2.4,39.6,14.8,37,1.76,0.29,7
06월 05일,7,1.3,4.15,19.9,140,537,"1,090","1,907",187,2.4,39.2,13.2,37,1.71,0.28,7
06월 05일,11,1.3,4.16,,,537,"1,090","1,907",187,2.4,37.2,15.3,77,1.58,0.28,0
06월 05일,15,1.3,4.16,18.8,138,537,"1,090","1,907",187,2.4,36.2,14.6,99,1.73,0.29,3
06월 05일,19,1.3,4.23,,,537,"1,090","1,907",187,,36.2,13.9,101,1.77,0.26,2
06월 05일,23,1.3,4.23,19.4,157,537,"1,090","1,907",187,,35.4,15,92,1.71,0.27,1
06월 06일,3,1.3,4.21,,,537,"1,090","1,907",187,2.4,36.6,17,83,1.71,0.31,1
06월 06일,7,1.3,4.2,19.4,154,537,"1,090","1,907",187,,36.7,15.7,76,1.74,0.26,0
06월 06일,11,1.3,4.22,,,537,"1,090","1,907",187,,37,15.8,80,1.66,0.28,1
06월 06일,15,1.3,4.2,19.1,164,537,"1,090","1,907",187,,36.2,13.6,105,1.52,0.29,2
06월 06일,19,1.3,4.21,,,537,"1,090","1,907",187,,36.6,13.3,95,1.64,0.29,3
06월 06일,23,1.3,4.21,18.6,158,537,"1,090","1,907",187,,35.9,11.1,100,1.91,0.31,5
06월 07일,3,1.3,4.17,,,537,"1,090","1,907",187,,36.6,13.4,90,1.85,0.27,0
06월 07일,7,1.3,4.23,19,168,537,"1,090","1,907",187,,36.6,12.6,124,1.62,0.26,1
06월 07일,11,1.3,4.22,,,537,"1,090","1,272",187,2.4,36.6,13.4,189,1.36,0.22,0
06월 07일,15,1.3,4.34,16.2,165,537,"1,090","1,272",187,2.4,36.7,12.4,290,1.04,0.24,0
06월 07일,19,1.3,4.3,,,537,"1,090","1,272",187,2.4,36.2,9.5,266,1.11,0.25,0
06월 07일,23,1.3,4.34,14.6,167,537,"1,090","1,272",187,2.4,36.8,10.7,250,1.03,0.24,2
06월 08일,3,1.3,4.31,,,537,"1,090","1,272",187,2.4,35.1,7.9,277,1.13,0.23,0
06월 08일,7,1.3,4.31,14,176,537,"1,090","1,272",187,2.4,37,10.6,298,1.13,0.25,0
06월 08일,11,1.3,4.34,,,537,"1,090","1,272",187,2.4,35.8,12.4,294,1.04,0.23,0
06월 08일,14,1.3,4.34,26.9,195,537,"1,090","1,272",187,2.4,35.9,13.1,292,1.09,0.23,0
06월 08일,17,1.3,4.35,,,537,"1,090","1,272",187,2.4,34.8,12.3,291,1.08,0.24,0
06월 08일,20,1.3,4.35,,,537,763,"1,272",187,2.4,35.8,15.9,280,1.06,0.22,0
06월 08일,23,1.3,4.33,23.8,202,537,763,"1,272",187,2.4,35,9,283,0.99,0.25,3
06월 09일,2,1.3,4.33,,,537,763,"1,272",187,2.4,36.2,10.6,256,1.08,0.23,5
06월 09일,5,1.3,4.32,,,537,763,"1,272",187,2.4,36.7,11.6,260,1.09,0.29,5
06월 09일,8,1.3,4.36,20.4,198,537,763,"1,272",187,2.4,35.7,13.9,268,1.02,0.27,2
06월 09일,11,1.3,4.36,,,537,763,"1,272",187,2.4,35.5,14.6,280,1.09,0.22,2
06월 09일,14,1.3,4.39,,,537,763,"1,272",187,2.4,35.7,13.9,281,1.06,0.26,1
06월 09일,17,1.3,4.39,,,537,763,"1,272",187,2.4,35.2,17.5,273,0.98,0.23,2
06월 09일,20,1.3,4.35,,,537,763,"1,272",187,2.4,35.8,22.4,261,1.09,0.23,2
06월 09일,23,1.3,4.36,,,537,763,"1,272",187,2.4,33.5,11.8,212,1.37,0.26,10
