nSheetID,strLotName,strGrade_Final,Endtime,time
371,20221022_101,A,2022-10-22 10:12,0:36
372,20221022_101,A,2022-10-22 10:12,0:09
373,20221022_101,A,2022-10-22 10:13,0:40
374,20221022_101,B,2022-10-22 10:13,0:09
375,20221022_101,A,2022-10-22 10:14,0:38
376,20221022_101,A,2022-10-22 10:14,0:10
377,20221022_101,A,2022-10-22 10:14,0:34
378,20221022_101,A,2022-10-22 10:15,0:09
379,20221022_101,A,2022-10-22 10:15,0:46
380,20221022_101,A,2022-10-22 10:15,0:08
381,20221022_101,A,2022-10-22 10:16,0:30
382,20221022_101,A,2022-10-22 10:16,0:09
383,20221022_101,A,2022-10-22 10:17,1:06
384,20221022_101,A,2022-10-22 10:17,0:09
385,20221022_101,A,2022-10-22 10:18,0:30
386,20221022_101,A,2022-10-22 10:18,0:09
387,20221022_101,A,2022-10-22 10:19,0:38
388,20221022_101,B,2022-10-22 10:19,0:09
389,20221022_101,A,2022-10-22 10:19,0:29
390,20221022_101,A,2022-10-22 10:19,0:10
391,20221022_101,A,2022-10-22 10:21,1:42
392,20221022_101,A,2022-10-22 10:21,0:08
393,20221022_101,A,2022-10-22 10:22,0:41
394,20221022_101,A,2022-10-22 10:22,0:09
395,20221022_101,A,2022-10-22 10:23,0:31
396,20221022_101,A,2022-10-22 10:23,0:09
397,20221022_101,A,2022-10-22 10:23,0:30
398,20221022_101,A,2022-10-22 10:23,0:09
399,20221022_101,A,2022-10-22 10:24,0:36
400,20221022_101,A,2022-10-22 10:24,0:10
401,20221022_101,A,2022-10-22 10:25,0:37
402,20221022_101,B,2022-10-22 10:25,0:09
403,20221022_101,A,2022-10-22 10:26,0:39
404,20221022_101,A,2022-10-22 10:26,0:08
405,20221022_101,A,2022-10-22 10:26,0:34
406,20221022_101,A,2022-10-22 10:26,0:09
407,20221022_101,A,2022-10-22 10:27,0:44
408,20221022_101,A,2022-10-22 10:27,0:10
409,20221022_101,A,2022-10-22 10:28,0:32
410,20221022_101,A,2022-10-22 10:28,0:09
411,20221022_101,A,2022-10-22 10:29,0:38
412,20221022_101,A,2022-10-22 10:29,0:09
413,20221022_101,A,2022-10-22 10:29,0:31
414,20221022_101,A,2022-10-22 10:29,0:10
415,20221022_101,B,2022-10-22 10:30,0:38
416,20221022_101,B,2022-10-22 10:31,0:41
417,20221022_101,A,2022-10-22 10:31,0:00
418,20221022_101,A,2022-10-22 10:31,0:09
419,20221022_101,A,2022-10-22 10:32,0:36
420,20221022_101,A,2022-10-22 10:32,0:09
421,20221022_101,A,2022-10-22 10:32,0:43
422,20221022_101,A,2022-10-22 10:33,0:11
423,20221022_101,A,2022-10-22 10:33,0:31
424,20221022_101,A,2022-10-22 10:33,0:09
425,20221022_101,A,2022-10-22 10:34,1:08
426,20221022_101,A,2022-10-22 10:35,0:09
427,20221022_101,A,2022-10-22 10:35,0:41
